date,token,saved_at
2017-02-12,rate_limit,429,deferred; slept 15.0s,1775519935
2017-02-13,rate_limit,429,deferred; slept 15.0s,1775519950
2017-02-14,rate_limit,429,deferred; slept 15.0s,1775519965
2017-02-15,rate_limit,429,deferred; slept 15.0s,1775519980
2017-02-16,rate_limit,429,deferred; slept 15.0s,1775519996
2017-02-17,rate_limit,429,deferred; slept 15.0s,1775520011
2017-02-18,rate_limit,429,deferred; slept 15.0s,1775520026
2017-03-29,rate_limit,429,deferred; slept 15.0s,1775520056
2017-03-30,rate_limit,429,deferred; slept 15.0s,1775520071
2017-03-31,rate_limit,429,deferred; slept 15.0s,1775520086
2017-04-01,rate_limit,429,deferred; slept 15.0s,1775520102
2017-04-02,rate_limit,429,deferred; slept 15.0s,1775520117
2017-04-03,rate_limit,429,deferred; slept 15.0s,1775520132
2017-04-04,rate_limit,429,deferred; slept 15.0s,1775520147
2017-04-06,rate_limit,429,deferred; slept 15.0s,1775520163
2017-04-07,rate_limit,429,deferred; slept 15.0s,1775520178
2017-04-08,rate_limit,429,deferred; slept 15.0s,1775520193
2017-04-09,rate_limit,429,deferred; slept 15.0s,1775520209
2017-04-10,rate_limit,429,deferred; slept 15.0s,1775520224
2017-04-11,rate_limit,429,deferred; slept 15.0s,1775520239
2017-04-12,rate_limit,429,deferred; slept 15.0s,1775520254
2017-05-16,rate_limit,429,deferred; slept 15.0s,1775520283
2017-05-17,rate_limit,429,deferred; slept 15.0s,1775520298
2017-05-18,rate_limit,429,deferred; slept 15.0s,1775520313
2017-05-19,rate_limit,429,deferred; slept 15.0s,1775520328
2017-05-20,rate_limit,429,deferred; slept 15.0s,1775520344
2017-05-21,rate_limit,429,deferred; slept 15.0s,1775520359
2017-05-22,rate_limit,429,deferred; slept 15.0s,1775520374
2017-07-01,rate_limit,429,deferred; slept 15.0s,1775520405
2017-07-02,rate_limit,429,deferred; slept 15.0s,1775520420
2017-07-03,rate_limit,429,deferred; slept 15.0s,1775520435
2017-07-04,rate_limit,429,deferred; slept 15.0s,1775520450
2017-07-05,rate_limit,429,deferred; slept 15.0s,1775520465
2017-07-06,rate_limit,429,deferred; slept 15.0s,1775520481
2017-07-07,rate_limit,429,deferred; slept 15.0s,1775520496
2017-08-15,rate_limit,429,deferred; slept 15.0s,1775520528
2017-08-16,rate_limit,429,deferred; slept 15.0s,1775520543
2017-08-17,rate_limit,429,deferred; slept 15.0s,1775520559
2017-08-18,rate_limit,429,deferred; slept 15.0s,1775520574
2017-08-19,rate_limit,429,deferred; slept 15.0s,1775520589
2017-08-20,rate_limit,429,deferred; slept 15.0s,1775520604
2017-08-21,rate_limit,429,deferred; slept 15.0s,1775520619
2017-09-29,rate_limit,429,deferred; slept 15.0s,1775520650
2017-09-30,rate_limit,429,deferred; slept 15.0s,1775520665
2017-10-01,rate_limit,429,deferred; slept 15.0s,1775520680
2017-10-02,rate_limit,429,deferred; slept 15.0s,1775520695
2017-10-03,rate_limit,429,deferred; slept 15.0s,1775520710
2017-10-04,rate_limit,429,deferred; slept 15.0s,1775520726
2017-10-05,rate_limit,429,deferred; slept 15.0s,1775520741
2017-10-08,rate_limit,429,deferred; slept 15.0s,1775520757
2017-10-09,rate_limit,429,deferred; slept 15.0s,1775520772
2017-10-10,rate_limit,429,deferred; slept 15.0s,1775520787
2017-10-11,rate_limit,429,deferred; slept 15.0s,1775520803
2017-10-12,rate_limit,429,deferred; slept 15.0s,1775520818
2017-10-13,rate_limit,429,deferred; slept 15.0s,1775520833
2017-10-14,rate_limit,429,deferred; slept 15.0s,1775520848
2017-11-20,rate_limit,429,deferred; slept 15.0s,1775520878
2017-11-21,rate_limit,429,deferred; slept 15.0s,1775520893
2017-11-22,rate_limit,429,deferred; slept 15.0s,1775520908
2017-11-23,rate_limit,429,deferred; slept 15.0s,1775520923
2017-11-24,rate_limit,429,deferred; slept 15.0s,1775520939
2017-11-25,rate_limit,429,deferred; slept 15.0s,1775520954
2017-11-26,rate_limit,429,deferred; slept 15.0s,1775520969
2018-01-02,rate_limit,429,deferred; slept 15.0s,1775520998
2018-01-03,rate_limit,429,deferred; slept 15.0s,1775521014
2018-01-04,rate_limit,429,deferred; slept 15.0s,1775521029
2018-01-05,rate_limit,429,deferred; slept 15.0s,1775521044
2018-01-06,rate_limit,429,deferred; slept 15.0s,1775521060
2018-01-07,rate_limit,429,deferred; slept 15.0s,1775521075
2018-01-08,rate_limit,429,deferred; slept 15.0s,1775521090
2018-02-15,rate_limit,429,deferred; slept 15.0s,1775521122
2018-02-16,rate_limit,429,deferred; slept 15.0s,1775521137
2018-02-17,rate_limit,429,deferred; slept 15.0s,1775521152
2018-02-18,rate_limit,429,deferred; slept 15.0s,1775521168
2018-02-19,rate_limit,429,deferred; slept 15.0s,1775521183
2018-02-20,rate_limit,429,deferred; slept 15.0s,1775521198
2018-02-21,rate_limit,429,deferred; slept 15.0s,1775521213
2018-03-31,rate_limit,429,deferred; slept 15.0s,1775521242
2018-04-01,rate_limit,429,deferred; slept 15.0s,1775521258
2018-04-02,rate_limit,429,deferred; slept 15.0s,1775521273
2018-04-03,rate_limit,429,deferred; slept 15.0s,1775521288
2018-04-04,rate_limit,429,deferred; slept 15.0s,1775521303
2018-04-05,rate_limit,429,deferred; slept 15.0s,1775521319
2018-04-06,rate_limit,429,deferred; slept 15.0s,1775521334
2018-05-16,rate_limit,429,deferred; slept 15.0s,1775521364
2018-05-17,rate_limit,429,deferred; slept 15.0s,1775521379
2018-05-18,rate_limit,429,deferred; slept 15.0s,1775521395
2018-05-19,rate_limit,429,deferred; slept 15.0s,1775521410
2018-05-20,rate_limit,429,deferred; slept 15.0s,1775521425
2018-05-21,rate_limit,429,deferred; slept 15.0s,1775521440
2018-05-22,rate_limit,429,deferred; slept 15.0s,1775521455
2018-06-30,rate_limit,429,deferred; slept 15.0s,1775521485
2018-07-01,rate_limit,429,deferred; slept 15.0s,1775521500
2018-07-02,rate_limit,429,deferred; slept 15.0s,1775521515
2018-07-03,rate_limit,429,deferred; slept 15.0s,1775521531
2018-07-04,rate_limit,429,deferred; slept 15.0s,1775521546
2018-07-05,rate_limit,429,deferred; slept 15.0s,1775521561
2018-07-06,rate_limit,429,deferred; slept 15.0s,1775521576
2018-07-09,rate_limit,429,deferred; slept 15.0s,1775521592
2018-07-10,rate_limit,429,deferred; slept 15.0s,1775521607
2018-07-11,rate_limit,429,deferred; slept 15.0s,1775521623
2018-07-12,rate_limit,429,deferred; slept 15.0s,1775521638
2018-07-13,rate_limit,429,deferred; slept 15.0s,1775521653
2018-07-14,rate_limit,429,deferred; slept 15.0s,1775521668
2018-07-15,rate_limit,429,deferred; slept 15.0s,1775521684
2018-08-21,rate_limit,429,deferred; slept 15.0s,1775521713
2018-08-22,rate_limit,429,deferred; slept 15.0s,1775521728
2018-08-23,rate_limit,429,deferred; slept 15.0s,1775521743
2018-08-24,rate_limit,429,deferred; slept 15.0s,1775521758
2018-08-25,rate_limit,429,deferred; slept 15.0s,1775521773
2018-08-26,rate_limit,429,deferred; slept 15.0s,1775521789
2018-08-27,rate_limit,429,deferred; slept 15.0s,1775521804
2018-10-05,rate_limit,429,deferred; slept 15.0s,1775521833
2018-10-06,rate_limit,429,deferred; slept 15.0s,1775521849
2018-10-07,rate_limit,429,deferred; slept 15.0s,1775521864
2018-10-08,rate_limit,429,deferred; slept 15.0s,1775521879
2018-10-09,rate_limit,429,deferred; slept 15.0s,1775521894
2018-10-10,rate_limit,429,deferred; slept 15.0s,1775521910
2018-10-11,rate_limit,429,deferred; slept 15.0s,1775521925
2018-10-14,rate_limit,429,deferred; slept 15.0s,1775521941
2018-10-15,rate_limit,429,deferred; slept 15.0s,1775521956
2018-10-16,rate_limit,429,deferred; slept 15.0s,1775521971
2018-10-17,rate_limit,429,deferred; slept 15.0s,1775521986
2018-10-18,rate_limit,429,deferred; slept 15.0s,1775522002
2018-10-19,rate_limit,429,deferred; slept 15.0s,1775522017
2018-10-20,rate_limit,429,deferred; slept 15.0s,1775522032
2018-11-24,rate_limit,429,deferred; slept 15.0s,1775522060
2018-11-25,rate_limit,429,deferred; slept 15.0s,1775522075
2018-11-26,rate_limit,429,deferred; slept 15.0s,1775522090
2018-11-27,rate_limit,429,deferred; slept 15.0s,1775522106
2018-11-28,rate_limit,429,deferred; slept 15.0s,1775522121
2018-11-29,rate_limit,429,deferred; slept 15.0s,1775522136
2018-11-30,rate_limit,429,deferred; slept 15.0s,1775522151
2019-01-07,rate_limit,429,deferred; slept 15.0s,1775522180
2019-01-08,rate_limit,429,deferred; slept 15.0s,1775522196
2019-01-09,rate_limit,429,deferred; slept 15.0s,1775522211
2019-01-10,rate_limit,429,deferred; slept 15.0s,1775522226
2019-01-11,rate_limit,429,deferred; slept 15.0s,1775522241
2019-01-12,rate_limit,429,deferred; slept 15.0s,1775522256
2019-01-13,rate_limit,429,deferred; slept 15.0s,1775522272
2019-02-20,rate_limit,429,deferred; slept 15.0s,1775522301
2019-02-21,rate_limit,429,deferred; slept 15.0s,1775522316
2019-02-22,rate_limit,429,deferred; slept 15.0s,1775522332
2019-02-23,rate_limit,429,deferred; slept 15.0s,1775522347
2019-02-24,rate_limit,429,deferred; slept 15.0s,1775522362
2019-02-25,rate_limit,429,deferred; slept 15.0s,1775522377
2019-02-26,rate_limit,429,deferred; slept 15.0s,1775522393
2019-03-01,rate_limit,429,deferred; slept 15.0s,1775522409
2019-03-02,rate_limit,429,deferred; slept 15.0s,1775522424
2019-03-03,rate_limit,429,deferred; slept 15.0s,1775522439
2019-03-04,rate_limit,429,deferred; slept 15.0s,1775522454
2019-03-05,rate_limit,429,deferred; slept 15.0s,1775522469
2019-03-06,rate_limit,429,deferred; slept 15.0s,1775522485
2019-03-07,rate_limit,429,deferred; slept 15.0s,1775522500
2019-04-13,rate_limit,429,deferred; slept 15.0s,1775522530
2019-04-14,rate_limit,429,deferred; slept 15.0s,1775522545
2019-04-15,rate_limit,429,deferred; slept 15.0s,1775522560
2019-04-16,rate_limit,429,deferred; slept 15.0s,1775522575
2019-04-17,rate_limit,429,deferred; slept 15.0s,1775522590
2019-04-18,rate_limit,429,deferred; slept 15.0s,1775522606
2019-04-19,rate_limit,429,deferred; slept 15.0s,1775522621
2019-05-28,rate_limit,429,deferred; slept 15.0s,1775522650
2019-05-29,rate_limit,429,deferred; slept 15.0s,1775522666
2019-05-30,rate_limit,429,deferred; slept 15.0s,1775522681
2019-05-31,rate_limit,429,deferred; slept 15.0s,1775522696
2019-06-01,rate_limit,429,deferred; slept 15.0s,1775522711
2019-06-02,rate_limit,429,deferred; slept 15.0s,1775522727
2019-06-03,rate_limit,429,deferred; slept 15.0s,1775522742
2019-07-13,rate_limit,429,deferred; slept 15.0s,1775522772
2019-07-14,rate_limit,429,deferred; slept 15.0s,1775522787
2019-07-15,rate_limit,429,deferred; slept 15.0s,1775522802
2019-07-16,rate_limit,429,deferred; slept 15.0s,1775522818
2019-07-17,rate_limit,429,deferred; slept 15.0s,1775522833
2019-07-18,rate_limit,429,deferred; slept 15.0s,1775522848
2019-07-19,rate_limit,429,deferred; slept 15.0s,1775522863
2019-08-28,rate_limit,429,deferred; slept 15.0s,1775522894
2019-08-29,rate_limit,429,deferred; slept 15.0s,1775522909
2019-08-30,rate_limit,429,deferred; slept 15.0s,1775522925
2019-08-31,rate_limit,429,deferred; slept 15.0s,1775522940
2019-09-01,rate_limit,429,deferred; slept 15.0s,1775522955
2019-09-02,rate_limit,429,deferred; slept 15.0s,1775522970
2019-09-03,rate_limit,429,deferred; slept 15.0s,1775522985
2019-10-12,rate_limit,429,deferred; slept 15.0s,1775523015
2019-10-13,rate_limit,429,deferred; slept 15.0s,1775523031
2019-10-14,rate_limit,429,deferred; slept 15.0s,1775523046
2019-10-15,rate_limit,429,deferred; slept 15.0s,1775523061
2019-10-16,rate_limit,429,deferred; slept 15.0s,1775523076
2019-10-17,rate_limit,429,deferred; slept 15.0s,1775523092
2019-10-18,rate_limit,429,deferred; slept 15.0s,1775523107
2019-10-21,rate_limit,429,deferred; slept 15.0s,1775523123
2019-10-22,rate_limit,429,deferred; slept 15.0s,1775523138
2019-10-23,rate_limit,429,deferred; slept 15.0s,1775523154
2019-10-24,rate_limit,429,deferred; slept 15.0s,1775523169
2019-10-25,rate_limit,429,deferred; slept 15.0s,1775523184
2019-10-26,rate_limit,429,deferred; slept 15.0s,1775523199
2019-10-27,rate_limit,429,deferred; slept 15.0s,1775523215
2019-12-03,rate_limit,429,deferred; slept 15.0s,1775523243
2019-12-04,rate_limit,429,deferred; slept 15.0s,1775523258
2019-12-05,rate_limit,429,deferred; slept 15.0s,1775523274
2019-12-06,rate_limit,429,deferred; slept 15.0s,1775523289
2019-12-07,rate_limit,429,deferred; slept 15.0s,1775523304
2019-12-08,rate_limit,429,deferred; slept 15.0s,1775523319
2019-12-09,rate_limit,429,deferred; slept 15.0s,1775523335
2020-01-17,rate_limit,429,deferred; slept 15.0s,1775523364
2020-01-18,rate_limit,429,deferred; slept 15.0s,1775523380
2020-01-19,rate_limit,429,deferred; slept 15.0s,1775523395
2020-01-20,rate_limit,429,deferred; slept 15.0s,1775523410
2020-01-21,rate_limit,429,deferred; slept 15.0s,1775523425
2020-01-22,rate_limit,429,deferred; slept 15.0s,1775523441
2020-01-23,rate_limit,429,deferred; slept 15.0s,1775523456
2020-03-03,rate_limit,429,deferred; slept 15.0s,1775523486
2020-03-04,rate_limit,429,deferred; slept 15.0s,1775523501
2020-03-05,rate_limit,429,deferred; slept 15.0s,1775523516
2020-03-06,auth,,auth error,1775523537
2020-03-07,rate_limit,429,deferred; slept 15.0s,1775523537
2020-03-08,rate_limit,429,deferred; slept 15.0s,1775523553
2020-03-09,rate_limit,429,deferred; slept 15.0s,1775523568
2020-03-10,rate_limit,429,deferred; slept 15.0s,1775523583
2020-04-27,rate_limit,429,deferred; slept 15.0s,1775523616
2020-04-28,rate_limit,429,deferred; slept 15.0s,1775523631
2020-04-29,rate_limit,429,deferred; slept 15.0s,1775523646
2020-04-30,rate_limit,429,deferred; slept 15.0s,1775523661
2020-05-01,rate_limit,429,deferred; slept 15.0s,1775523677
2020-05-02,rate_limit,429,deferred; slept 15.0s,1775523692
2020-05-03,rate_limit,429,deferred; slept 15.0s,1775523707
2020-06-10,rate_limit,429,deferred; slept 15.0s,1775523736
2020-06-11,rate_limit,429,deferred; slept 15.0s,1775523751
2020-06-12,rate_limit,429,deferred; slept 15.0s,1775523767
2020-06-13,rate_limit,429,deferred; slept 15.0s,1775523782
2020-06-14,rate_limit,429,deferred; slept 15.0s,1775523797
2020-06-15,rate_limit,429,deferred; slept 15.0s,1775523812
2020-06-16,rate_limit,429,deferred; slept 15.0s,1775523828
2020-07-25,rate_limit,429,deferred; slept 15.0s,1775523857
2020-07-26,rate_limit,429,deferred; slept 15.0s,1775523872
2020-07-27,rate_limit,429,deferred; slept 15.0s,1775523887
2020-07-28,rate_limit,429,deferred; slept 15.0s,1775523902
2020-07-29,rate_limit,429,deferred; slept 15.0s,1775523918
2020-07-30,rate_limit,429,deferred; slept 15.0s,1775523933
2020-07-31,rate_limit,429,deferred; slept 15.0s,1775523948
2020-08-04,rate_limit,429,deferred; slept 15.0s,1775523965
2020-08-05,rate_limit,429,deferred; slept 15.0s,1775523980
2020-08-06,rate_limit,429,deferred; slept 15.0s,1775523995
2020-08-07,rate_limit,429,deferred; slept 15.0s,1775524010
2020-08-08,rate_limit,429,deferred; slept 15.0s,1775524026
2020-08-09,rate_limit,429,deferred; slept 15.0s,1775524041
2020-08-10,rate_limit,429,deferred; slept 15.0s,1775524056
2020-09-16,rate_limit,429,deferred; slept 15.0s,1775524084
2020-09-17,rate_limit,429,deferred; slept 15.0s,1775524099
2020-09-18,rate_limit,429,deferred; slept 15.0s,1775524115
2020-09-19,rate_limit,429,deferred; slept 15.0s,1775524130
2020-09-20,rate_limit,429,deferred; slept 15.0s,1775524145
2020-09-21,rate_limit,429,deferred; slept 15.0s,1775524160
2020-09-22,rate_limit,429,deferred; slept 15.0s,1775524175
2020-10-31,rate_limit,429,deferred; slept 15.0s,1775524204
2020-11-01,rate_limit,429,deferred; slept 15.0s,1775524220
2020-11-02,rate_limit,429,deferred; slept 15.0s,1775524235
2020-11-03,rate_limit,429,deferred; slept 15.0s,1775524250
2020-11-04,rate_limit,429,deferred; slept 15.0s,1775524265
2020-11-05,rate_limit,429,deferred; slept 15.0s,1775524281
2020-11-06,rate_limit,429,deferred; slept 15.0s,1775524296
2020-12-16,rate_limit,429,deferred; slept 15.0s,1775524325
2020-12-17,rate_limit,429,deferred; slept 15.0s,1775524341
2020-12-18,rate_limit,429,deferred; slept 15.0s,1775524356
2020-12-19,rate_limit,429,deferred; slept 15.0s,1775524371
2020-12-20,rate_limit,429,deferred; slept 15.0s,1775524386
2020-12-21,rate_limit,429,deferred; slept 15.0s,1775524401
2020-12-22,rate_limit,429,deferred; slept 15.0s,1775524417
2020-12-25,rate_limit,429,deferred; slept 15.0s,1775524433
2020-12-26,rate_limit,429,deferred; slept 15.0s,1775524448
2020-12-27,rate_limit,429,deferred; slept 15.0s,1775524463
2020-12-28,rate_limit,429,deferred; slept 15.0s,1775524478
2020-12-29,rate_limit,429,deferred; slept 15.0s,1775524494
2020-12-30,rate_limit,429,deferred; slept 15.0s,1775524509
2020-12-31,rate_limit,429,deferred; slept 15.0s,1775524524
2021-02-07,rate_limit,429,deferred; slept 15.0s,1775524553
2021-02-08,rate_limit,429,deferred; slept 15.0s,1775524568
2021-02-09,rate_limit,429,deferred; slept 15.0s,1775524583
2021-02-10,rate_limit,429,deferred; slept 15.0s,1775524598
2021-02-11,rate_limit,429,deferred; slept 15.0s,1775524614
2021-02-12,rate_limit,429,deferred; slept 15.0s,1775524629
2021-02-13,rate_limit,429,deferred; slept 15.0s,1775524644
2021-03-23,rate_limit,429,deferred; slept 15.0s,1775524673
2021-03-24,rate_limit,429,deferred; slept 15.0s,1775524688
2021-03-25,rate_limit,429,deferred; slept 15.0s,1775524704
2021-03-26,rate_limit,429,deferred; slept 15.0s,1775524719
2021-03-27,rate_limit,429,deferred; slept 15.0s,1775524734
2021-03-28,rate_limit,429,deferred; slept 15.0s,1775524749
2021-03-29,rate_limit,429,deferred; slept 15.0s,1775524765
2021-04-01,rate_limit,429,deferred; slept 15.0s,1775524781
2021-04-02,rate_limit,429,deferred; slept 15.0s,1775524796
2021-04-03,rate_limit,429,deferred; slept 15.0s,1775524811
2021-04-04,rate_limit,429,deferred; slept 15.0s,1775524826
2021-04-05,rate_limit,429,deferred; slept 15.0s,1775524842
2021-04-06,rate_limit,429,deferred; slept 15.0s,1775524857
2021-04-07,rate_limit,429,deferred; slept 15.0s,1775524872
2021-05-13,rate_limit,429,deferred; slept 15.0s,1775524901
2021-05-14,rate_limit,429,deferred; slept 15.0s,1775524916
2021-05-15,rate_limit,429,deferred; slept 15.0s,1775524931
2021-05-16,rate_limit,429,deferred; slept 15.0s,1775524946
2021-05-17,rate_limit,429,deferred; slept 15.0s,1775524962
2021-05-18,rate_limit,429,deferred; slept 15.0s,1775524977
2021-05-19,rate_limit,429,deferred; slept 15.0s,1775524992
2021-06-25,rate_limit,429,deferred; slept 15.0s,1775525020
2021-06-26,rate_limit,429,deferred; slept 15.0s,1775525036
2021-06-27,rate_limit,429,deferred; slept 15.0s,1775525051
2021-06-28,rate_limit,429,deferred; slept 15.0s,1775525066
2021-06-29,rate_limit,429,deferred; slept 15.0s,1775525081
2021-06-30,rate_limit,429,deferred; slept 15.0s,1775525097
2021-07-01,rate_limit,429,deferred; slept 15.0s,1775525112
2021-08-08,rate_limit,429,deferred; slept 15.0s,1775525141
2021-08-09,rate_limit,429,deferred; slept 15.0s,1775525156
2021-08-10,rate_limit,429,deferred; slept 15.0s,1775525171
2021-08-11,rate_limit,429,deferred; slept 15.0s,1775525187
2021-08-12,rate_limit,429,deferred; slept 15.0s,1775525202
2021-08-13,rate_limit,429,deferred; slept 15.0s,1775525217
2021-08-14,rate_limit,429,deferred; slept 15.0s,1775525232
2021-09-22,rate_limit,429,deferred; slept 15.0s,1775525262
2021-09-23,rate_limit,429,deferred; slept 15.0s,1775525277
2021-09-24,rate_limit,429,deferred; slept 15.0s,1775525292
2021-09-25,rate_limit,429,deferred; slept 15.0s,1775525307
2021-09-26,rate_limit,429,deferred; slept 15.0s,1775525323
2021-09-27,rate_limit,429,deferred; slept 15.0s,1775525338
2021-09-28,rate_limit,429,deferred; slept 15.0s,1775525353
