pop_rank,rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,pop_total_days
1,1,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",10875045,,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; soty; synthpop; post malone,True,The Tortured Poets Department (Webstore Exclusive),,,,0
2,2,The Tortured Poets Department,Taylor Swift,8487090,,2,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; singer-songwriter; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,,0
3,3,Down Bad,Taylor Swift,8087833,,3,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; love at first listen; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,,0
4,4,"So Long, London",Taylor Swift,7713111,,4,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; singer-songwriter; synthpop; hyperfixate on my mind,True,THE TORTURED POETS DEPARTMENT,,,,0
5,5,My Boy Only Breaks His Favorite Toys,Taylor Swift,7696256,,5,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; synthpop; female vocalists; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,,0
6,6,But Daddy I Love Him,Taylor Swift,7176347,,6,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; pop rock; colleen hoover; soty,True,THE TORTURED POETS DEPARTMENT,,,,0
7,7,Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",6767891,,7,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; rock; country; alternative; pop rock; singer-songwriter; love at first listen; best of 2024; florence + the machine; 2024,True,,,,,0
8,8,I Can Do It With a Broken Heart,Taylor Swift,6386906,,8,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,,,,0
9,9,Who’s Afraid of Little Old Me?,Taylor Swift,6114329,,9,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; love at first listen; best of 2024; pop rock; soty,True,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,,,0
10,10,Fresh Out The Slammer,Taylor Swift,6001623,,10,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,,0
11,11,Guilty as Sin?,Taylor Swift,5945689,,11,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; singer-songwriter; pop rock; soty,True,THE TORTURED POETS DEPARTMENT,,,,0
12,12,loml,Taylor Swift,5648085,,12,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; sad; piano; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,,0
13,13,The Alchemy,Taylor Swift,5307636,,13,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,,0
14,14,I Can Fix Him (No Really I Can),Taylor Swift,5254784,,14,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,singer-songwriter; pop; love at first listen; sexy; soty,True,THE TORTURED POETS DEPARTMENT,,,,0
15,15,The Smallest Man Who Ever Lived,Taylor Swift,5214108,,15,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,True,THE TORTURED POETS DEPARTMENT,,,,0
16,16,Clara Bow,Taylor Swift,4655263,,16,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; chatgpt; colleen hoover; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,,0
17,17,thanK you aIMee,Taylor Swift,3663101,,17,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,folk; female vocalist; pop; singer-songwriter; folk pop,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
18,18,The Black Dog,Taylor Swift,3591747,,18,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; soty; best of 2024; singer-songwriter; love at first listen,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
19,19,imgonnagetyouback,Taylor Swift,3471113,,19,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; singer-songwriter; female vocalists; synthpop; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
20,20,So High School,Taylor Swift,3333302,,20,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b,pop; rock; pop rock; singer-songwriter; indie rock,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
21,21,The Albatross,Taylor Swift,3136079,,21,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; folk; pop; best of 2024; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
22,22,Chloe or Sam or Sophia or Marcus,Taylor Swift,3005442,,22,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b,pop; singer-songwriter; folk pop; folk; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
23,24,I Hate It Here,Taylor Swift,2819921,,24,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,folk; pop; singer-songwriter; poetic; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
25,26,I Look in People's Windows,Taylor Swift,2720391,,26,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; folk; singer-songwriter; ai; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
26,27,The Prophecy,Taylor Swift,2700640,,27,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; folk; pop; ai; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
27,28,Cassandra,Taylor Swift,2451570,,28,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; folk; singer-songwriter; female vocalists; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
28,29,Peter,Taylor Swift,2340509,,29,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,ballad; folk; pop; peter pan; love at first listen,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
29,30,The Bolter,Taylor Swift,2227952,,30,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; best of 2024; folk; country; singer-songwriter,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
30,32,The Manuscript,Taylor Swift,2132234,,32,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,chatgpt; pop; singer-songwriter; ballad; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,,0
32,34,Robin,Taylor Swift,2011074,,34,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; pop; indie; folk; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
37,47,Cruel Summer,Taylor Swift,1182824,19.0,1,400,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,electropop; pop; synthpop; industrial pop; pop perfection,True,Lover,,,9.0,0
51,92,august,Taylor Swift,576463,142.0,6,3,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,dream pop; folk; folk pop; indie pop; indie folk,True,folklore: the long pond studio sessions (from the Disney+ special),,,43.0,0
55,111,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,501263,116.0,1,7,https://i.scdn.co/image/ab67616d00001e02904445d70d04eb24d6bb79ac,pop; synthpop; synthwave; electropop; break-up,True,1989 (Taylor’s Version) (Deluxe),,,39.0,0
56,112,Lover,Taylor Swift,500435,157.0,1,2,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,pop; country; indie folk; love; country pop,True,You Belong With Me,,,48.0,0
71,152,cardigan,Taylor Swift,424111,160.0,1,2,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,,49.0,0
75,167,Don’t Blame Me,Taylor Swift,408435,164.0,45,2,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b,pop; electropop; gospel; edm; rnb,True,Golden Collection,,,51.0,0
79,177,Karma,Taylor Swift,395832,134.0,4,2,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,,42.0,0
