title,track_id,spotify_url,previous_streams,new_streams,delta,reason,raw
The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W,1215515144,1215515144,0,same_total,1215515144
Opalite,3yWuTOYDztXjZxdE2cIRUa,https://open.spotify.com/track/3yWuTOYDztXjZxdE2cIRUa,645289039,645289039,0,same_total,645289039
Style,0ug5NqcwcFR2xrfTkc7k8e,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e,1717341546,1717341546,0,same_total,1717341546
Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,2395692046,2395692046,0,same_total,2395692046
Shake It Off,0cqRj7pUJDkTCEsJkx8snD,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,1851818259,1851818259,0,same_total,1851818259
Lover,1dGr1c8CrMLDpV6mPbImSI,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2009779481,2009779481,0,same_total,2009779481
I Don't Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe,https://open.spotify.com/track/2y5aJvzXhHPA94U5GFAcXe,2106064717,2106064717,0,same_total,2106064717
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,1146366816,1146366816,0,same_total,1146366816
Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,https://open.spotify.com/track/0W0iAC1VGlB82PI6elxFYf,559861660,559861660,0,same_total,559861660
Love Story (Taylor's Version),6YvqWjhGD8mB5QXcbcUKtx,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx,1166140964,1166140964,0,same_total,1166140964
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,1184369771,1184369771,0,same_total,1184369771
Wildest Dreams,4A4A6dwl5DqdqrZaEtKGPR,https://open.spotify.com/track/4A4A6dwl5DqdqrZaEtKGPR,1168490625,1168490625,0,same_total,1168490625
I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj,1099216988,1099216988,0,same_total,1099216988
Don't Blame Me,1R0a2iXumgCiFb7HEZ7gUE,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE,1579865591,1579865591,0,same_total,1579865591
You Belong With Me (Taylor's Version),1qrpoAMXodY6895hGKoUpA,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA,1073405675,1073405675,0,same_total,1073405675
Daylight,1fzAuUVbzlhZ1lJAx9PtY6,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,697097677,697097677,0,same_total,697097677
Dress,6oVxXO5oQ4pTpO8RSnkzvv,https://open.spotify.com/track/6oVxXO5oQ4pTpO8RSnkzvv,564010623,564010623,0,same_total,564010623
Father Figure,03bTIHJElXZ0O0jqOQvAbY,https://open.spotify.com/track/03bTIHJElXZ0O0jqOQvAbY,290810701,290810701,0,same_total,290810701
Delicate,6NFyWDv5CjfwuzoCkw47Xf,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf,1309166379,1309166379,0,same_total,1309166379
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,1987834749,1987834749,0,same_total,1987834749
You Belong With Me,7G6TDmGJXDoBaV6NGj3Yic,https://open.spotify.com/track/7G6TDmGJXDoBaV6NGj3Yic,817445037,817445037,0,same_total,817445037
Wi$h Li$t,2TEQvxxQabwLQMqWMg1qGu,https://open.spotify.com/track/2TEQvxxQabwLQMqWMg1qGu,256741006,256741006,0,same_total,256741006
The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,https://open.spotify.com/track/5eXgqtg3T8Av0m1FUaGHex,254567741,254567741,0,same_total,254567741
Love Story,5xPsybHWRHbTYO44xnREY5,https://open.spotify.com/track/5xPsybHWRHbTYO44xnREY5,1109956325,1109956325,0,same_total,1109956325
I Can Do It With a Broken Heart,4dgf2DYVJbtmy8zAYLs4c7,https://open.spotify.com/track/4dgf2DYVJbtmy8zAYLs4c7,808068972,808068972,0,same_total,808068972
Ruin The Friendship,62V2ZHslgQV98gH4AuVXnr,https://open.spotify.com/track/62V2ZHslgQV98gH4AuVXnr,208133945,208133945,0,same_total,208133945
"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t,853286896,853286896,0,same_total,853286896
Actually Romantic,2x3mwb96B6TquRqMtbxUE1,https://open.spotify.com/track/2x3mwb96B6TquRqMtbxUE1,224299884,224299884,0,same_total,224299884
Wood,5ylJtmaWPJ33cW3En7WOu0,https://open.spotify.com/track/5ylJtmaWPJ33cW3En7WOu0,227573966,227573966,0,same_total,227573966
loml,3YkNIrAvbKNrrwwEd7NVLl,https://open.spotify.com/track/3YkNIrAvbKNrrwwEd7NVLl,360858347,360858347,0,same_total,360858347
So High School,1J1ldDi3rMQlRi49gaba0a,https://open.spotify.com/track/1J1ldDi3rMQlRi49gaba0a,396831949,396831949,0,same_total,396831949
Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK,1012806418,1012806418,0,same_total,1012806418
CANCELLED!,1appZ3c336FkPvCuywfmrs,https://open.spotify.com/track/1appZ3c336FkPvCuywfmrs,217354656,217354656,0,same_total,217354656
Enchanted,04S1pkp1VaIqjg8zZqknR5,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5,1009614671,1009614671,0,same_total,1009614671
Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW,906926008,906926008,0,same_total,906926008
...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,1010311938,1010311938,0,same_total,1010311938
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,1422304748,1422304748,0,same_total,1422304748
Honey,4qmFC3Jz5aQ0erlk2OSi2X,https://open.spotify.com/track/4qmFC3Jz5aQ0erlk2OSi2X,181208215,181208215,0,same_total,181208215
Eldest Daughter,62HoDY1Km6lm47haFpUn9c,https://open.spotify.com/track/62HoDY1Km6lm47haFpUn9c,200832421,200832421,0,same_total,200832421
Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h,510294662,510294662,0,same_total,510294662
Down Bad,2F3N9tdombb64aW6VtZOdo,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,520238272,520238272,0,same_total,520238272
Down Bad,212gSq8QwTqxjHJSEcMoEZ,https://open.spotify.com/track/212gSq8QwTqxjHJSEcMoEZ,520238272,520238272,0,same_total,520238272
The Man,3RauEVgRgj1IuWdJ9fDs70,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70,1001502240,1001502240,0,same_total,1001502240
Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,https://open.spotify.com/track/1GwMQaZz6Au3QLDbjbMdme,577607237,577607237,0,same_total,577607237
Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE,256437572,256437572,0,same_total,256437572
right where you left me - bonus track,3zwMVvkBe2qIKDObWgXw4N,https://open.spotify.com/track/3zwMVvkBe2qIKDObWgXw4N,496330325,496330325,0,same_total,496330325
willow,0lx2cLdOt3piJbcaXIV74f,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f,1076840006,1076840006,0,same_total,1076840006
The Way I Loved You (Taylor's Version),22bPsP2jCgbLUvh82U0Z3M,https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M,581594623,581594623,0,same_total,581594623
Karma,45R112Jz5hQeKgITXgSXzs,https://open.spotify.com/track/45R112Jz5hQeKgITXgSXzs,1010319118,1010319118,0,same_total,1010319118
Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,https://open.spotify.com/track/1hjRhYpWyqDpPahmSlUTlc,419533446,419533446,0,same_total,419533446
Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4,847370661,847370661,0,same_total,847370661
Paper Rings,4y5bvROuBDPr5fuwXbIBZR,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR,829958857,829958857,0,same_total,829958857
Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6,438633683,438633683,0,same_total,438633683
Bad Blood,2NlmmAjGYrrjAp0MED5rGx,https://open.spotify.com/track/2NlmmAjGYrrjAp0MED5rGx,738514544,738514544,0,same_total,738514544
champagne problems,0sY6ZUTh4yoctD8VIXz339,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,820968804,820968804,0,same_total,820968804
My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,https://open.spotify.com/track/2XXwLdtuAcE0HSCu61ijAb,402054588,402054588,0,same_total,402054588
Who's Afraid of Little Old Me?,6kl8thRysTeVV3WvKxgZAy,https://open.spotify.com/track/6kl8thRysTeVV3WvKxgZAy,429151833,429151833,0,same_total,429151833
We Are Never Ever Getting Back Together,7AEAGTc8cReDqcbPoY9gwo,https://open.spotify.com/track/7AEAGTc8cReDqcbPoY9gwo,797576768,797576768,0,same_total,797576768
The Archer,3pHkh7d0lzM2AldUtz2x37,https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37,549436789,549436789,0,same_total,549436789
"So Long, London",3Vevii7qKqrmW8CcyzBHDl,https://open.spotify.com/track/3Vevii7qKqrmW8CcyzBHDl,418308509,418308509,0,same_total,418308509
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,1127246250,1127246250,0,same_total,1127246250
Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,https://open.spotify.com/track/4bBDkw2KBMX0tcgAaXC83Q,396321627,396321627,0,same_total,396321627
All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu,380412515,380412515,0,same_total,380412515
Maroon,3eX0NZfLtGzoLUxPNvRfqm,https://open.spotify.com/track/3eX0NZfLtGzoLUxPNvRfqm,608426958,608426958,0,same_total,608426958
False God,5hQSXkFgbxjZo9uCwd11so,https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so,370685220,370685220,0,same_total,370685220
Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,https://open.spotify.com/track/214nt20w5wOxJnY462klLw,555704113,555704113,0,same_total,555704113
The Prophecy,18WFFUIsewmA8g31KAeo3e,https://open.spotify.com/track/18WFFUIsewmA8g31KAeo3e,265185436,265185436,0,same_total,265185436
"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,https://open.spotify.com/track/0CD7DzeCsuPJygddqlUVYa,443127943,443127943,0,same_total,443127943
The Smallest Man Who Ever Lived,4GBbcyrbDzwRtQjrsDRywK,https://open.spotify.com/track/4GBbcyrbDzwRtQjrsDRywK,335785027,335785027,0,same_total,335785027
imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,https://open.spotify.com/track/1kcwpPDQnqEqmezzXdJTCP,251138473,251138473,0,same_total,251138473
Fearless (Taylor's Version),77sMIMlNaSURUAXq5coCxE,https://open.spotify.com/track/77sMIMlNaSURUAXq5coCxE,457527244,457527244,0,same_total,457527244
Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,https://open.spotify.com/track/3ZVFcD8Wlw9T9klGqmJf9F,326237354,326237354,0,same_total,326237354
The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,276238894,276238894,0,same_total,276238894
But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,https://open.spotify.com/track/5og4Qzt92jJzVDkOtSEilb,371399881,371399881,0,same_total,371399881
But Daddy I Love Him,74sZKiwaGtSEEyjhDmi99y,https://open.spotify.com/track/74sZKiwaGtSEEyjhDmi99y,371399881,371399881,0,same_total,371399881
You're Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,https://open.spotify.com/track/3CWq0pAKKTWb0K4yiglDc4,381899421,381899421,0,same_total,381899421
Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC,251352786,251352786,0,same_total,251352786
Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,883799308,883799308,0,same_total,883799308
Bejeweled,3qoftcUZaUOncvIYjFSPdE,https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE,709021578,709021578,0,same_total,709021578
Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,https://open.spotify.com/track/45wMBGri1PORPjM9PwFfrS,363364506,363364506,0,same_total,363364506
The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,https://open.spotify.com/track/3NMrVbIVWT3fPXBj0rNDKG,328441983,328441983,0,same_total,328441983
Back To December,5l6GqSxplqnZbLg0LTPQeG,https://open.spotify.com/track/5l6GqSxplqnZbLg0LTPQeG,498810440,498810440,0,same_total,498810440
I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ,https://open.spotify.com/track/4svZDCRz4cJoneBpjpx8DJ,576359359,576359359,0,same_total,576359359
Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a,448217153,448217153,0,same_total,448217153
Afterglow,1SymEzIT3H8UZfibCs3TYi,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,505854648,505854648,0,same_total,505854648
Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,https://open.spotify.com/track/6IG3sQ8s9nfk6TUlVzRhbN,580210205,580210205,0,same_total,580210205
This Love (Taylor's Version),4WBEj8TeGtRPNJdOmT3WJW,https://open.spotify.com/track/4WBEj8TeGtRPNJdOmT3WJW,368607864,368607864,0,same_total,368607864
End Game,2x0WlnmfG39ZuDmstl9xfX,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,621491737,621491737,0,same_total,621491737
Gorgeous,1ZY1PqizIl78geGM4xWlEA,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,737847408,737847408,0,same_total,737847408
Our Song,15DeqWWQB4dcEWzJg15VrN,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,457866683,457866683,0,same_total,457866683
Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,https://open.spotify.com/track/5QUIK7ZtziW8kGWo8RqopF,429097333,429097333,0,same_total,429097333
Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot,291526304,291526304,0,same_total,291526304
We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,477190398,477190398,0,same_total,477190398
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,976098664,976098664,0,same_total,976098664
The Black Dog,62E2nR0od0M5HYxuYLaDz7,https://open.spotify.com/track/62E2nR0od0M5HYxuYLaDz7,211207150,211207150,0,same_total,211207150
Hits Different,3xYJScVfxByb61dYHTwiby,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby,284293754,284293754,0,same_total,284293754
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),7qEUFOVcxRI19tbT68JcYK,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK,231189921,231189921,0,same_total,231189921
How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,https://open.spotify.com/track/5Bedn0svl0ZD7RGmJkmKKw,215394332,215394332,0,same_total,215394332
Mr. Perfectly Fine (Taylor's Version) (From The Vault),2CYVETnhM9aytqrazYYwrK,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK,469174114,469174114,0,same_total,469174114
Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j,282196808,282196808,0,same_total,282196808
The Bolter,2913xXOVAIDAqxzV2g4VcU,https://open.spotify.com/track/2913xXOVAIDAqxzV2g4VcU,161091313,161091313,0,same_total,161091313
tolerate it,0PurA4JVJ8YQgSVopY8fn6,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,433531276,433531276,0,same_total,433531276
King Of My Heart,7HuBDWi18s4aJM8UFnNheH,https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH,368646089,368646089,0,same_total,368646089
London Boy,1LLXZFeAHK9R4xUramtUKw,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw,432233775,432233775,0,same_total,432233775
Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,298797048,298797048,0,same_total,298797048
Mastermind,1QQii3pa5m8MEda0nbkjfw,https://open.spotify.com/track/1QQii3pa5m8MEda0nbkjfw,457470523,457470523,0,same_total,457470523
Peter,3zMDGj4D8ogaYgAIZPeU7S,https://open.spotify.com/track/3zMDGj4D8ogaYgAIZPeU7S,169887409,169887409,0,same_total,169887409
The Great War,2VuqMjgoKaOHNM8HpxtXKx,https://open.spotify.com/track/2VuqMjgoKaOHNM8HpxtXKx,376049132,376049132,0,same_total,376049132
I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,498345085,498345085,0,same_total,498345085
Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag,163737423,163737423,0,same_total,163737423
22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,407976818,407976818,0,same_total,407976818
Better Than Revenge,1By2VQkUN0Frd8mKNV5NYC,https://open.spotify.com/track/1By2VQkUN0Frd8mKNV5NYC,247080680,247080680,0,same_total,247080680
All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,477215844,477215844,0,same_total,477215844
22,2ULNeSomDxVNmdDy8VxEBU,https://open.spotify.com/track/2ULNeSomDxVNmdDy8VxEBU,461892462,461892462,0,same_total,461892462
I Hate It Here,3hlGuz3loYoLfI3bpwieWq,https://open.spotify.com/track/3hlGuz3loYoLfI3bpwieWq,173366045,173366045,0,same_total,173366045
Better Man (Taylor's Version) (From The Vault),4OmFmE0fzcMG6g0Y8p4eSD,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD,202045813,202045813,0,same_total,202045813
Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,https://open.spotify.com/track/2L09RYwH5Pjzca6PmbUAw3,367233080,367233080,0,same_total,367233080
